Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0033022,0.032542,-2.5826E-05,0,0,0,22.672,0.044161,-8.6321E-05,2.023E-06,0.21133,1.9779E-05,0.18577,0,0,0,0,0,0,package://MentorPi/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://MentorPi/meshes/base_link.STL,,车身-1,Reference_Axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_lf_link,5.7354E-05,-2.9973E-07,0.00012442,0,0,0,0.3046,0.00030664,-6.8374E-09,-3.428E-07,0.0003057,3.5498E-09,0.00054036,0,0,0,0,0,0,package://MentorPi/meshes/wheel_lf_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://MentorPi/meshes/wheel_lf_link.STL,,车轮-2,coord_wheel_LF,Axis_wheel_lf_joint,wheel_lf_joint,continuous,-0.11,0.0073576,0.086,3.1416,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
wheel_rf_link,-7.0865E-06,5.6914E-05,0.00012442,0,0,0,0.3046,0.00030571,-1.1298E-07,4.0613E-08,0.00030662,-3.404E-07,0.00054036,0,0,0,0,0,0,package://MentorPi/meshes/wheel_rf_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://MentorPi/meshes/wheel_rf_link.STL,,车轮-1,coord_wheel_RF,Axis_wheel_rf_joint,wheel_rf_joint,continuous,-0.11,0.0073576,-0.086,3.1416,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
wheel_rb_link,3.4437E-05,4.5865E-05,0.00012442,0,0,0,0.3046,0.00030604,4.5028E-07,-2.0727E-07,0.0003063,-2.7306E-07,0.00054036,0,0,0,0,0,0,package://MentorPi/meshes/wheel_rb_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://MentorPi/meshes/wheel_rb_link.STL,,车轮-4,coord_wheel_RB,Axis_wheel_rb_joint,wheel_rb_joint,continuous,0.11,0.00735756317525278,-0.086,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
wheel_lb_link,-3.7863860200632E-05,-4.30802429762511E-05,0.000124418886977111,0,0,0,0.304599160504414,0.000306109342759773,4.64673066168227E-07,2.27664816301896E-07,0.000306225290429213,2.56304663085608E-07,0.000540360950478997,0,0,0,0,0,0,package://MentorPi/meshes/wheel_lb_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://MentorPi/meshes/wheel_lb_link.STL,,车轮-3,coord_wheel_LB,Axis_wheel_lb_joint,wheel_lb_joint,continuous,0.11,0.0073576,0.086,3.1416,0,3.1416,base_link,0,0,1,,,,,,,,,,,,
