Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00330221731717334,0.0325417122827733,-2.58263806423437E-05,0,0,0,22.6717435021437,0.0441605176235026,-8.63208331581681E-05,2.0229555045361E-06,0.211330876853214,1.97789942384825E-05,0.185767983428727,0,0,0,0,0,0,package://four_wheels_chassis/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://four_wheels_chassis/meshes/base_link.STL,,车身-1,Reference_Axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_lf_link,5.73539032563686E-05,-2.9972576836429E-07,0.000124417860132384,0,0,0,0.304599150390103,0.000306635546690288,-6.83736707380597E-09,-3.4280031096312E-07,0.000305699030327149,3.54977145484189E-09,0.000540360904407992,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_lf_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_lf_link.STL,,车轮-2,coord_wheel_LF,Axis_wheel_lf_joint,wheel_lf_joint,continuous,-0.11,0.00735756317525305,0.086,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
wheel_rf_link,-7.08645731969937E-06,5.69135032745041E-05,0.000124420522378821,0,0,0,0.304599227158444,0.000305712856378214,-1.12979510783002E-07,4.06130003457354E-08,0.000306621834757987,-3.4039793659996E-07,0.000540360999500532,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_rf_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_rf_link.STL,,车轮-1,coord_wheel_RF,Axis_wheel_rf_joint,wheel_rf_joint,continuous,-0.11,0.00735756317525303,-0.086,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
wheel_rb_link,3.44374949006604E-05,4.58651366546242E-05,0.000124419260676051,0,0,0,0.304599171277994,0.000306038753832959,4.50281370046904E-07,-2.07272852667199E-07,0.000306295895379469,-2.73058022700886E-07,0.000540360963831866,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_rb_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_rb_link.STL,,车轮-4,coord_wheel_RB,Axis_wheel_rb_joint,wheel_rb_joint,continuous,0.11,0.00735756317525278,-0.086,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
wheel_lb_link,-3.78638602006251E-05,-4.30802429762511E-05,0.000124418886977111,0,0,0,0.304599160504414,0.000306109342759773,4.64673066168232E-07,2.27664816301897E-07,0.000306225290429213,2.56304663085611E-07,0.000540360950478997,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_lb_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://four_wheels_chassis/meshes/wheel_lb_link.STL,,车轮-3,coord_wheel_LB,Axis_wheel_lb_joint,wheel_lb_joint,continuous,0.11,0.0073575631752528,0.086,3.14159265358979,0,3.14159265358979,base_link,0,0,1,,,,,,,,,,,,
